,Song Name,Song id,Notes,Difficulty,Level,4.5/7s,6/9s,7.5/11s,7.5/12s
18,できたて \nEvo! Revo! Generation!,22,674,MASTER,26,0.6281962245091219,0.6487151966664555,0.6459793337121443,0.5452785318938479
19,輝く世界の魔法,2,585,MASTER,25,0.6410862581075345,0.6540583136327809,0.6490877129174992,0.6009577498939199
20,We're the friends!,3,547,MASTER,22,0.6587835647697949,0.6764168190127964,0.6905493536634377,0.6595615024569862
21,メッセージ,4,525,MASTER,25,0.6354609929078011,0.6411347517730497,0.6894967916244507,0.591151637960149
22,夕映えプレゼント,20,597,MASTER,26,0.6365159128978217,0.6573054397281907,0.6834408448863692,0.5931548997944802
23,GOIN'!!!,21,579,MASTER,27,0.6442999056823325,0.64625975330418,0.6559365009370514,0.609390119918176
24,-LEGNE- \n仇なす剣 光の旋律,24,630,MASTER,28,0.6431385793087909,0.6389733198243823,0.6400990656309795,0.5895530789147804
25,ØωØver!!,26,606,MASTER,26,0.6317440254663758,0.6537462256863974,0.6533951267467164,0.6011984177141113
26,Twilight Sky,28,582,MASTER,24,0.6536521166922561,0.6393946040798413,0.6713216836050789,0.6457312763520259
27,とどけ ! アイドル,29,481,MASTER,21,0.628418926291267,0.6545170374957613,0.6723581191666299,0.6430161749310687
28,Shine!!,30,540,MASTER,25,0.6238508011557657,0.6485421591804567,0.6451273969004463,0.6168899395849747
29,ヴィーナス\nシンドローム,32,612,MASTER,26,0.6354007323969773,0.6675010429703786,0.6768877763871495,0.6308811940851982
30,ショコラ・ティアラ,34,510,MASTER,26,0.6469197608121263,0.6569322764566822,0.662911973299958,0.5935196773744963
31,Trancing Pulse,35,662,MASTER,28,0.5703756079792585,0.6541535428853025,0.6621885110668283,0.6135501703413249
32,夢色ハーモニー,38,630,MASTER,26,0.6093662051108852,0.6524822695035449,0.6565349544072935,0.6014859844647074
33,アタシポンコツ\nアンドロイド,41,634,MASTER,26,0.6510504060675203,0.6906503792200805,0.6474707474774584,0.6018301004541685
34,Romantic Now,33,660,MASTER,27,0.6110036535568438,0.6746185256823544,0.6121856866537708,0.5585643670750047
35,M@GIC☆,36,767,MASTER,28,0.6222086604344101,0.6273867975995645,0.662154289994176,0.6270169306591958
36,流れ星キセキ,45,596,MASTER,26,0.6399638250273687,0.6753058213146739,0.6615022133371401,0.5751106668570609
37,You're stars \nshine on me,31,427,MASTER,23,0.6502566146793569,0.6725131629212554,0.6545750494128595,0.6208580397628187
38,Nation Blue,42,708,MASTER,26,0.6810714428817578,0.6607364667227633,0.659233882277518,0.6251753015186114
39,ゴキゲンParty Night,510,632,MASTER,26,0.6349313223808232,0.6634347787054482,0.6523251638387636,0.6463775922434679
40,ゴキゲンParty Night,510,900,MASTER+,29,0.6575256107171011,0.6884160756501196,0.6786446020488588,0.6471237194641462
41,TOKIMEKI\nエスカレート,37,800,MASTER,28,0.649468085106385,0.6817375886524839,0.6772163120567392,0.6276595744680871
42,Orange Sapphire,43,719,MASTER,26,0.6631550912910962,0.6711449116680981,0.6759782597973953,0.5945018199035295
43,Naked Romance,40,674,MASTER,26,0.6386135488351525,0.6579750405118162,0.6816507776164323,0.6497674516488824
44,ゴキゲンParty Night,50,632,MASTER,26,0.6349313223808232,0.6634347787054482,0.6523251638387636,0.6463775922434679
45,Angel Breeze,44,524,MASTER,24,0.6381625250392506,0.6562990633966757,0.6434410697850683,0.5947160413621355
46,アップルパイ・\nプリンセス,51,562,MASTER,23,0.6482673329799848,0.6405693950177931,0.6447338532596347,0.6174755811312181
47,Snow Wings,55,682,MASTER,26,0.6520247083047348,0.6720950063434618,0.6716790416172712,0.5771510575903154
48,Tulip,54,659,MASTER,26,0.6186032996480796,0.6293653612285959,0.6918929390113965,0.5962182115606058
49,エヴリデイドリーム,52,552,MASTER,25,0.6015520608490084,0.6343149347312157,0.6576986329530263,0.596284304656183
50,ゴキゲンParty Night\n（CUTE VERSION）,46,548,MASTER,25,0.6375213542475537,0.6768649376197127,0.6652171662266392,0.6381684526582798
51,ゴキゲンParty Night\n（COOL VERSION）,47,630,MASTER,25,0.6303050771135869,0.6707193515704144,0.6560846560846549,0.6341326128560161
52,ゴキゲンParty Night\n（PASSION VERSION）,48,630,MASTER,25,0.6377349994371264,0.6675672633119432,0.6500056287290318,0.6158955307891472
53,Bright Blue,53,389,MASTER,23,0.6541596018158946,0.6656456817808896,0.6164196247880547,0.6025634013382195
54,パステルピンクな恋,56,684,MASTER,26,0.6475260254655542,0.6288623449877645,0.6597611048898837,0.5681016963211803
55,Absolute NIne,61,622,MASTER,26,0.6483318510410244,0.6332808829901246,0.6818544616998461,0.5921187658206194
56,Rockin' Emotion,59,675,MASTER,26,0.6283162595219326,0.6579458891515617,0.6576306803257158,0.6248489624376138
57,花簪 \nHANAKANZASHI,60,645,MASTER,27,0.6444554401011594,0.6582000109956554,0.6796415415910712,0.5660564077189503
58,オルゴールの小箱,57,531,MASTER,25,0.6565960118069745,0.6535240613855829,0.6258765075930597,0.6023694087163259
59,ハイファイ☆デイズ,62,554,MASTER,24,0.6315129170187159,0.6624932790536903,0.631512917018716,0.5963079601607908
60,お願い ! シンデレラ,901,481,MASTER,25,0.6536323557600155,0.632842334969995,0.6649857713687503,0.6126421020038045
61,Hotel Moonside,63,779,MASTER,27,0.6435783282804848,0.6268265370223696,0.6802683928295067,0.6413022696856321
62,絶対特権\n主張しますっ !,58,777,MASTER,27,0.6228721122338158,0.6445046870578793,0.6573746999278923,0.6137444435316783
63,お散歩カメラ,64,610,MASTER,26,0.6448087431693981,0.6448087431693983,0.6484129752354365,0.593186838739681
64,生存本能\nヴァルキュリア,302,656,MASTER,26,0.6353788271925263,0.636459955025081,0.6709479328835836,0.6066208268465655
65,メルヘンデビュー !,65,747,MASTER,27,0.6563369316509547,0.6910858564280781,0.6483617685873534,0.6328861545472682
66,2nd SIDE,66,527,MASTER,25,0.6284737642483208,0.6329147994132452,0.6401819478649384,0.6019621300819574
67,つぼみ,301,440,MASTER,26,0.6428110896196007,0.6574790457769184,0.6490973565441656,0.6120245003223731
68,純情Midnight伝説,306,651,MASTER,25,0.64461657460971,0.63873364491072,0.6323059994988602,0.5892734581821741
69,熱血乙女A,67,500,MASTER,22,0.6046808510638302,0.6541843971631207,0.6097872340425535,0.6039716312056741
70,き・ま・ぐ・れ☆\nCafé au lait !,68,537,MASTER,25,0.6530897948941446,0.6311660525377392,0.6789756593631541,0.603959480697862
71,Love∞Destiny,307,613,MASTER,26,0.6472065067740321,0.629389237906817,0.6386449619936821,0.6280008792937875
72,明日また会えるよね,303,553,MASTER,25,0.6498403293447729,0.6397086170854007,0.6539443140574297,0.5930257909789286
73,薄荷 -ハッカ-,69,400,MASTER,24,0.6164893617021278,0.665780141843972,0.6413120567375891,0.5723404255319151
74,毒茸伝説,70,700,MASTER,28,0.6273556231003032,0.6754812563323204,0.6670719351570422,0.6056737588652478
75,咲いてJewel,304,573,MASTER,25,0.6515415939499705,0.6478284009753315,0.6537695097347538,0.643001250108301
76,サマカニ ! !,308,697,MASTER,26,0.6571222157778527,0.6637361742828944,0.6977217456780337,0.624866448914801
77,秘密のトワレ,71,773,MASTER,28,0.6629783564082113,0.6448120521501401,0.670685273366181,0.5825144734065485
78,小さな恋の密室事件,72,496,MASTER,27,0.6252859757492567,0.6524536719286208,0.6824811256005489,0.615991763898422
79,きみにいっぱい☆,305,514,MASTER,25,0.6316748075171789,0.6359522035488588,0.6716891574909617,0.5891768082346778
80,BEYOND \nTHE STARLIGHT,313,600,MASTER,26,0.6173758865248219,0.6486997635933798,0.637825059101654,0.6330969267139475
81,Can't Stop!!,76,618,MASTER,25,0.6200509536597116,0.6461015859900378,0.6728407812894478,0.6061649337831938
82,Near to You,312,566,MASTER,26,0.6309049444903887,0.6592236172718836,0.6702503571160057,0.6237626243640826
83,STORY,315,547,MASTER,25,0.6285736512505345,0.6416689356515873,0.6640994722989348,0.6127555849443126
84,Near to You\n（CUTE VERSION）,309,558,MASTER,25,0.6386791733394337,0.6491014006456693,0.6718523602531833,0.6272401433691756
85,Near to You\n（COOL VERSION）,310,516,MASTER,25,0.6334872725273517,0.6741712023750616,0.6508054318544173,0.6230413986475345
86,Near to You\n（PASSION VERSION）,311,582,MASTER,25,0.6269649776997872,0.650727498720479,0.6612073797860147,0.612220028758743
87,キミとボクのミライ,801,545,MASTER,25,0.6626325720606412,0.6612011191359225,0.6747348558787162,0.5621706031622101
88,恋色エナジー,74,606,MASTER,25,0.6330313882452065,0.6365423776420183,0.6693116120122639,0.6209769913161526
89,ラブレター,314,546,MASTER,26,0.6245291351674328,0.6694723716000307,0.6607694905567241,0.6115397604759304
90,あいくるしい,317,468,MASTER,25,0.6434503243013887,0.6437534097108567,0.6655755591925807,0.6113232708977392
91,青の一番星,75,677,MASTER,27,0.6303361723079494,0.6588306776873348,0.6543260316163287,0.6167174748839781
92,Flip Flop,318,631,MASTER,25,0.6373987029481507,0.6155938451855092,0.6503242629620875,0.5922154409863882
93,Jet to the Future,316,599,MASTER,26,0.6322594394913499,0.6443363051894995,0.6645828153305144,0.6349826543056388
94,Treasure☆,322,541,MASTER,24,0.6148320027267605,0.6630746843906079,0.6439349248174506,0.5764213893367947
95,EVERMORE,319,675,MASTER,27,0.6687680588389798,0.6218019437877583,0.6865248226950359,0.5935382190701332
96,気持ちいいよね　\n一等賞 !,73,689,MASTER,26,0.6274897322669294,0.6361362443257254,0.6414888470287903,0.588786297337079
97,あんきら ! ？狂騒曲,320,785,MASTER,26,0.646609748385058,0.6445317793739006,0.6775082441161875,0.6036048245019655
98,ラヴィアンローズ,77,499,MASTER,24,0.6085930726701635,0.6304808197956197,0.6083088162139886,0.6328969996731052
99,命燃やして恋せよ乙女,321,529,MASTER,25,0.6433924573328508,0.6454034777245972,0.7045274772419517,0.6069259542291762
100,Lunatic Show,324,568,MASTER,26,0.6293077614623911,0.6881180701228642,0.7278243931675148,0.614573968634502
101,in fact,78,403,MASTER,24,0.6340742305052535,0.6309064991288742,0.6581841859810291,0.5485454833430127
102,Sweet Witches' Night \n～6人目はだぁれ～,325,553,MASTER,26,0.6359893809395557,0.6430431046644349,0.6498403293447726,0.5927692919343873
103,お願い ! シンデレラ,1,527,MASTER+,25,0.6522938619510945,0.6397782173954001,0.6858034909227926,0.6086909712409332
104,S(mile)ING!,9,627,MASTER+,27,0.6466682502516762,0.6579795717533672,0.6847874037123747,0.6190686257875501
105,アタシポンコツ\nアンドロイド,41,822,MASTER+,29,0.6197477178996066,0.6804024089316852,0.6641818087694796,0.6083587858708228
106,夢色ハーモニー,38,777,MASTER+,29,0.6157525306461492,0.6345555281725505,0.6544538459432088,0.6100020993638018
107,とどけ ! アイドル,29,658,MASTER+,26,0.621591325529758,0.6254715557567514,0.701243829356097,0.6155554118433241
108,Never say never,10,774,MASTER+,27,0.6376564590320173,0.6522257041801839,0.6818223468396665,0.6403137427382862
109,Nation Blue,42,835,MASTER+,29,0.6645432539176983,0.6671762857264205,0.6377882532806743,0.5813904106680264
110,流れ星キセキ,45,814,MASTER+,29,0.6189555125725344,0.6760241866624868,0.6959764406572932,0.6101556101556117
111,We're the friends!,3,638,MASTER+,26,0.6491918450832603,0.6716467684919619,0.7049956646435003,0.6222904021876868
112,ミツボシ☆☆★,11,805,MASTER+,27,0.6445531033875173,0.6589137042421054,0.6626139817629197,0.5764503766353911
113,Orange Sapphire,43,918,MASTER+,29,0.6501954603748529,0.6613204777576921,0.6834159983930542,0.5864583816190007
114,ゴキゲンParty Night,50,928,MASTER+,29,0.6529713866471029,0.6937056737588668,0.6781914893617035,0.6419662509170957
115,情熱\nファンファンファーレ,326,700,MASTER,26,0.6520770010131709,0.6363728470111448,0.6685916919959475,0.6436676798378921
116,ミラクルテレパシー,79,695,MASTER,26,0.66166641155161,0.6591152609827025,0.6939129547425905,0.6085004336955958
117,桜の頃,327,517,MASTER,26,0.6210132104201818,0.6746505343155408,0.5885015844273428,0.5365104188101024
118,エンジェル ドリーム,802,765,MASTER,26,0.6506280999397407,0.6705604227506619,0.6726000092708493,0.5994530199786774
119,∀NSWER,328,620,MASTER,26,0.6408144589338814,0.6477922672157391,0.6744452070464414,0.596087851750171
120,恋のHamburg♪,80,586,MASTER,25,0.6367245177062902,0.6576622370682345,0.6867087841599487,0.6137293345920163
121,shabon song,329,573,MASTER,25,0.6480759471736408,0.6530268711398258,0.6215885039545499,0.6280247051105909
122,BEYOND \nTHE STARLIGHT,902,600,MASTER,25,0.6173758865248219,0.6486997635933798,0.637825059101654,0.6330969267139475
123,Tulip,54,868,MASTER+,30,0.6132954211197192,0.6430368990423915,0.652923489230972,0.6064320031375644
124,Love∞Destiny,307,739,MASTER+,29,0.6366663787560347,0.6680486377028578,0.6154569621589455,0.6258217449303737
125,Happy×2 Days,23,661,MASTER+,27,0.6626538341863278,0.6478471261037967,0.6831471765324397,0.6090063411336778
126,Absolute NIne,61,999,MASTER+,30,0.6605896676818673,0.6262290659453785,0.6702447127979059,0.6152961472110423
127,生存本能\nヴァルキュリア,302,953,MASTER+,30,0.6195441048424917,0.636883897806853,0.6921033243285494,0.5869482708579863
128,Memories,25,603,MASTER+,26,0.6341813391670482,0.6844030438822427,0.6821683544452665,0.6240664290838946
129,Nocturne,330,578,MASTER,26,0.6097082136984953,0.621855751061375,0.6832069498637992,0.5851677341775259
130,共鳴世界の存在論,81,815,MASTER,27,0.5982682852543201,0.6521341861375817,0.6423878518905292,0.5625897402427887
131,Nothing but You,331,737,MASTER,26,0.6287710384248979,0.6280974239056177,0.6686105257080178,0.6011528431344236
132,LET'S GO HAPPY!!,27,986,MASTER+,29,0.6495907240372322,0.6384417303238266,0.6694431257462653,0.591328240760723
133,ハイファイ☆デイズ,62,800,MASTER+,28,0.6605496453900725,0.6594858156028377,0.6465425531914913,0.5908687943262408
134,純情Midnight伝説,306,927,MASTER+,29,0.6216193470892929,0.6311062146633319,0.6466371349659936,0.616263857329755
135,Radio Happy,82,739,MASTER,27,0.648854595533547,0.6559563911361926,0.6629622165279917,0.5892570945978365
136,明日また会えるよね,303,820,MASTER+,28,0.6417574814046026,0.6403736377789326,0.6464279536412403,0.5796574987026472
137,Near to You,312,870,MASTER+,29,0.6424553680606522,0.6312871932827919,0.6625091709464432,0.6195483818374514
138,おねだり \nShall We ～?,18,683,MASTER+,27,0.6415168790172675,0.6405823286917325,0.6642576036052873,0.6106767182746117
139,咲いてJewel,304,923,MASTER+,29,0.6423703157296216,0.6457512121281986,0.6422166386205955,0.6223922915562129
140,BEYOND \nTHE STARLIGHT,313,811,MASTER+,29,0.6217698139937576,0.6560502313053685,0.6605976336018076,0.6217698139937569
141,Twilight Sky,28,758,MASTER+,27,0.6460637362226102,0.6552330694810914,0.6821796815060176,0.6008720223058057
142,モーレツ★\n世直しギルティ !,332,743,MASTER,26,0.641638746504015,0.6666475759571618,0.6667430295046931,0.578257590943367
143,この空の下,323,413,MASTER,23,0.6441364861848098,0.6662888740061482,0.6467123452338027,0.6020641217179263
144,With Love,333,565,MASTER,25,0.6209753342120125,0.6307663340237241,0.689010230339546,0.5506809765894685
145,DOKIDOKIリズム,17,825,MASTER+,28,0.6431119707715466,0.6956372232967997,0.6654631420588888,0.5653986675263267
146,きみにいっぱい☆,305,831,MASTER+,28,0.6243865802971741,0.6353961304418342,0.6475151701359566,0.6041597323569836
147,サマカニ ! !,308,979,MASTER+,30,0.663653025594218,0.6629285926441086,0.6720564478154739,0.6218532443729686
148,Yes! Party Time!!,542,688,MASTER,25,0.6030430479960406,0.6605640771895098,0.6627288471053937,0.5911883555995373
149,Yes! Party Time!!,542,974,MASTER+,29,0.6188562191445682,0.6674967597244689,0.6281765622496994,0.5964291435478478
150,Yes! Party Time!!,334,688,MASTER,25,0.6030430479960406,0.6605640771895098,0.6627288471053937,0.5911883555995373
151,ラブレター,314,793,MASTER+,29,0.6191587740244882,0.6357936912523601,0.6485829018092725,0.6060118233121385
152,EVERMORE,319,859,MASTER+,29,0.6558013193636024,0.6310322905572221,0.6759467961261256,0.6033735417234298
153,Star!!,19,950,MASTER+,30,0.6419559537140739,0.6812243374393444,0.6461366181410981,0.5908174692049284
154,Jet to the Future,316,804,MASTER+,29,0.6316820154546431,0.6605271514766599,0.641649906495891,0.6413852722204587
155,STORY,315,766,MASTER+,28,0.6317241634724011,0.6648704701590669,0.6672777438290483,0.6145954854359953
156,Snow Wings,55,862,MASTER+,30,0.6483355547876469,0.6629806980303125,0.6529430155830921,0.5921409883003412
157,Flip Flop,318,864,MASTER+,29,0.6444542947202536,0.6447005516154468,0.6520882584712385,0.5979117415287644
158,命燃やして恋せよ乙女,321,738,MASTER+,29,0.6234023333141137,0.6728939629821844,0.6741432662553591,0.5726614003728685
159,輝く世界の魔法,2,702,MASTER+,28,0.6329433634398166,0.6439554666505026,0.6182942353155114,0.585156897213634
160,リトルリドル,335,652,MASTER,26,0.6347082626288987,0.6708219118478865,0.6497193577861886,0.6143671409302522
161,To my darling...,83,500,MASTER,24,0.6456737588652484,0.6329078014184399,0.6685106382978722,0.6140425531914898
162,Kawaii \nmake MY day!,336,661,MASTER,26,0.6402291820903198,0.6370103325071608,0.6376541024237924,0.6274610787437895
163,EVERMORE,319,861,LEGACY,29,0.657655208770934,0.6316257691452309,0.6765183153351307,0.6042783832093649
164,Tulip,54,869,LEGACY,30,0.6135690326371732,0.6445820989316832,0.6524169788376645,0.6070399660488556
165,Love∞Destiny,307,719,LEGACY,29,0.6394815494333147,0.6751891417354685,0.6199508774006444,0.6227127906173857
166,ラブレター,314,791,LEGACY,29,0.6159722409016336,0.6373115994656207,0.6526436596103341,0.6051232392787668
167,Near to You,312,858,LEGACY,29,0.6453239431962854,0.6373886161120212,0.6594587445651292,0.6256509447998825
168,夢色ハーモニー,38,777,LEGACY,29,0.6157525306461492,0.6345555281725505,0.6544538459432088,0.6100020993638018
169,Absolute NIne,61,999,LEGACY,30,0.6605896676818673,0.6262290659453785,0.6702447127979059,0.6152961472110423
170,生存本能\nヴァルキュリア,302,931,LEGACY,30,0.6179582695340187,0.627404377204411,0.6824812791858077,0.5848968926876477
171,BEYOND \nTHE STARLIGHT,313,814,LEGACY,29,0.6206980675065796,0.65729172112151,0.6592085315489598,0.6218307282137079
172,Jet to the Future,316,784,LEGACY,29,0.632779707627733,0.6599182226081933,0.6477963525835883,0.6364886380083954
173,咲いてJewel,304,822,LEGACY,28,0.6373487946713614,0.6498593639454037,0.6474435298786921,0.6354506393332312
174,流れ星キセキ,45,814,LEGACY,29,0.6186941293324278,0.6760241866624868,0.6947566522034622,0.6113753986094427
175,STORY,315,771,LEGACY,28,0.6416094047520503,0.6638702615190752,0.668653586113642,0.6068383144300032
176,ハイファイ☆デイズ,62,795,LEGACY,28,0.6596190731076335,0.6566751416209472,0.6491814978366583,0.5954770507159103
177,純情Midnight伝説,306,922,LEGACY,29,0.6216827433424116,0.632374886540208,0.6456823741173222,0.6154520699681565
178,サマカニ ! !,308,971,LEGACY,30,0.6629854430980728,0.6615246400946608,0.673430184572461,0.6182118310435263
179,命燃やして恋せよ乙女,321,739,LEGACY,29,0.6237104002917497,0.6732310290885722,0.6745746120404241,0.573230069386462
180,ゴキゲンParty Night,50,900,LEGACY,29,0.6575256107171011,0.6884160756501196,0.6786446020488588,0.6471237194641462
181,きみにいっぱい☆,305,780,LEGACY,28,0.6256592107655956,0.6426623022367716,0.6580287324968189,0.6149299872704131
182,Flip Flop,318,844,LEGACY,29,0.634348425263018,0.6468690128062942,0.644095996773219,0.60804678834325
183,みんなのきもち,84,560,MASTER,24,0.6206940222897666,0.6627406281661596,0.6526089159067878,0.5946048632218842
184,Take me☆Take you,545,570,MASTER,24,0.6711459499813357,0.6562150055991034,0.6755008087594864,0.6282194848824185
185,Take me☆Take you,545,856,MASTER+,27,0.6637336780009289,0.6257871014780952,0.663485119639426,0.6164247365281387
186,Take me☆Take you,338,570,MASTER,24,0.6711459499813357,0.6562150055991034,0.6755008087594864,0.6282194848824185
187,あいくるしい,317,656,MASTER+,28,0.6209998270195459,0.631811105345095,0.6907325722193381,0.6257567894827879
188,風色メロディ,12,512,MASTER+,27,0.6417608599290779,0.6835937499999996,0.6774988918439714,0.616273271276596
189,Lunatic Show,324,788,MASTER+,29,0.6208373834467376,0.6926593944630464,0.712189941318359,0.6156172372826445
190,華蕾夢ミル狂詩曲 \n～魂ノ導～,13,950,MASTER+,29,0.6428518103770077,0.6594251586412854,0.6563643150429278,0.5761104889884301
191,Sweet Witches' Night \n～6人目はだぁれ～,325,788,MASTER+,29,0.6323577060157701,0.6141771969615155,0.6521582604312933,0.5540555135543788
192,ましゅまろ☆キッス,14,745,MASTER+,27,0.6190680184682761,0.6569565424341965,0.6673330477414458,0.5778475891284679
193,あいくるしい,317,573,LEGACY,28,0.6270345203173538,0.6248066045325705,0.6460955775871668,0.6061168665602218
194,Lunatic Show,324,783,LEGACY,29,0.6233526262873302,0.6934594168636737,0.7128429481082961,0.6160158691339914
195,Sweet Witches' Night \n～6人目はだぁれ～,325,774,LEGACY,29,0.6316088478384385,0.6176810159986807,0.6454450492055649,0.5590375135154938
196,Wonder goes on!!,339,640,MASTER,25,0.6490469858156019,0.6518173758865238,0.657801418439715,0.5876551418439709
197,双翼の独奏歌,340,699,MASTER,27,0.6370803275195572,0.6722876652563446,0.6558508101746167,0.6273399689526062
198,イリュージョニスタ !,341,743,MASTER,26,0.6350524517243689,0.6709429855960609,0.6519477296373734,0.6218798621650771
199,こいかぜ,86,636,MASTER,26,0.6162183861902841,0.629488380391631,0.6147687229582046,0.6077434319104322
200,あんきら ! ？狂騒曲,320,998,MASTER+,30,0.6642362739663735,0.6520132463508591,0.6654443639051167,0.6206739720575913
201,ススメ☆オトメ \n～jewel parade～,8,691,MASTER+,28,0.6502037339245207,0.6635465098377314,0.6477404522174666,0.5884164177725768
202,∀NSWER,328,888,MASTER+,30,0.6415724234873181,0.6317487700466435,0.6625774710881107,0.6030764807360576
203,メッセージ,4,738,MASTER+,28,0.61821291971785,0.646466393741952,0.6822156874051022,0.5921697514847483
204,情熱\nファンファンファーレ,326,858,MASTER+,29,0.6479690522243728,0.640281704111493,0.6885549438740944,0.62829605382797
205,できたて \nEvo! Revo! Generation!,22,913,MASTER+,29,0.6294423341334405,0.6583393535457123,0.6772156323553417,0.5888932907646071
206,あんきら ! ？狂騒曲,320,957,LEGACY,30,0.6621608602533046,0.6465980420492539,0.6676449009537799,0.6148795363762359
207,∀NSWER,328,888,LEGACY,30,0.6415724234873181,0.6317487700466435,0.6625774710881107,0.6030764807360576
208,情熱\nファンファンファーレ,326,870,LEGACY,29,0.6477541371158407,0.6380533137686492,0.6924268362272781,0.6241134751773065
209,Twin☆くるっ★テール,342,666,MASTER,26,0.644793729900112,0.6461780929866026,0.6372329776585083,0.6097586948650771
210,キミのそばでずっと,549,471,MASTER,24,0.6291126470012501,0.6435680836006087,0.6462784779629884,0.5889084639592844
211,キミのそばでずっと,549,603,MASTER+,27,0.5888994742599057,0.6606447667101835,0.6527645460640049,0.5530268280347671
212,キミのそばでずっと,343,471,MASTER,24,0.6291126470012501,0.6435680836006087,0.6462784779629884,0.5889084639592844
213,私色ギフト,337,565,MASTER,25,0.6605159103746937,0.6438210004393393,0.6639051026172089,0.6243645264545283
214,Halloween♥Code,344,741,MASTER,26,0.6493046582632254,0.6577272422737155,0.6636613355538333,0.6107330519424581
215,shabon song,329,692,MASTER+,28,0.6484442258024841,0.6504939941786575,0.6386053375968512,0.5934079449022249
216,パステルピンクな恋,56,787,MASTER+,29,0.6537979759748409,0.6327106256815109,0.6477601449079476,0.5745852370524567
217,Nocturne,330,873,MASTER+,29,0.6312300455752979,0.6226186704361755,0.6643757159221091,0.6417099266408338
218,オルゴールの小箱,57,652,MASTER+,28,0.6449332115041542,0.6263325066353381,0.6176304224861846,0.5870643519122825
219,モーレツ★\n世直しギルティ !,332,910,MASTER+,29,0.6079027355623121,0.6431299197256666,0.6706414153222678,0.5888083547658025
220,絶対特権\n主張しますっ !,58,995,MASTER+,30,0.6320966534801681,0.6387255426066512,0.6603228910510007,0.5958872376064731
221,shabon song,329,674,LEGACY,28,0.6506092556348247,0.6477681671822708,0.6350358818949,0.5908411726329512
222,Nocturne,330,812,LEGACY,29,0.6353282325402665,0.6141040422038232,0.6662474234007625,0.633581385598995
223,モーレツ★\n世直しギルティ !,332,911,LEGACY,29,0.6087924578243865,0.6439809732894277,0.6699052557006189,0.5897190368311661
224,秋風に手を振って,345,654,MASTER,26,0.6468649012080584,0.6822174507124725,0.6759277333159819,0.6389485327607511
225,lilac time,85,579,MASTER,24,0.6705128676245415,0.6435649628241397,0.683741839072011,0.5908940579869915
226,Trinity Field,346,682,MASTER,26,0.6082444208731091,0.6741748299744182,0.6307065160874349,0.588486096379026
227,恋が咲く季節,553,617,MASTER,25,0.6458843408393384,0.6265733301148307,0.6978401554076563,0.6062278009586535
228,恋が咲く季節,553,733,MASTER+,28,0.6286222944665372,0.6073360231439819,0.6694532330943479,0.5400907569204564
229,恋が咲く季節,347,617,MASTER,25,0.6458843408393384,0.6265733301148307,0.6978401554076563,0.6062278009586535
230,桜の頃,327,590,MASTER+,29,0.5882918620026444,0.6593340545738664,0.6362543574948906,0.5733862243058054
231,ØωØver!!,26,978,MASTER+,29,0.6330766218509346,0.6422138102075456,0.6427214317829141,0.5922493437178217
